物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
阪急京都線 大宮駅 5階建 築25年,地下鉄東西線,二条城前駅,6,京都府京都市中京区橋西町,25,5.3,1,K,24,6000,,
地下鉄東西線 二条駅 5階建 築26年,地下鉄東西線,二条駅,1,京都府京都市中京区西ノ京職司町,26,5.5,1,K,21.84,5000,5,5
地下鉄東西線 二条駅 5階建 築26年,地下鉄東西線,二条駅,1,京都府京都市中京区西ノ京職司町,26,5.6,1,K,21.84,5000,5,5
地下鉄東西線 二条駅 5階建 築26年,地下鉄東西線,二条駅,1,京都府京都市中京区西ノ京職司町,26,6.7,2,K,31.96,5000,5,5
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,11,1,K,36.64,10000,11,11
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,11.2,1,K,36.64,10000,11.2,11.2
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,11,1,K,36.64,12000,11,11
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,12.6,1,K,36.64,10000,12.6,12.6
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,15.1,2,LDK,54.7,10000,15.1,15.1
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,17.5,2,LDK,55.6,10000,17.5,17.5
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,17.5,2,LDK,54.7,10000,17.5,17.5
ＩＬ　ＲＯＳＳＯ堀川六角,地下鉄東西線,二条城前駅,7,京都府京都市中京区壺屋町,16,18.4,1,LDK,54.7,10000,18.4,18.4
ＡＬＢＡ烏丸御池,地下鉄烏丸線,烏丸御池駅,2,京都府京都市中京区綿屋町,21,8.6,1,DK,30.95,8000,8.6,17.2
ＡＬＢＡ烏丸御池,地下鉄烏丸線,烏丸御池駅,2,京都府京都市中京区綿屋町,21,8.7,1,DK,32.5,8000,8.7,17.4
ＡＬＢＡ烏丸御池,地下鉄烏丸線,烏丸御池駅,2,京都府京都市中京区綿屋町,21,9,1,DK,32.94,8000,9,18
ＡＬＢＡ烏丸御池,地下鉄烏丸線,烏丸御池駅,2,京都府京都市中京区綿屋町,21,9.1,1,DK,34,8000,9.1,18.2
ＡＬＢＡ烏丸御池,地下鉄烏丸線,烏丸御池駅,2,京都府京都市中京区綿屋町,21,9.2,1,DK,32.49,8000,9.2,18.4
阪急京都線 大宮駅 4階建 築29年,阪急京都線,大宮駅,5,京都府京都市中京区三条大宮町,29,3.7,1,K,17.15,3000,,
阪急京都線 大宮駅 4階建 築29年,阪急京都線,大宮駅,5,京都府京都市中京区三条大宮町,29,3.9,1,K,17.15,3000,,
阪急京都線 大宮駅 4階建 築29年,阪急京都線,大宮駅,5,京都府京都市中京区三条大宮町,29,3.9,1,K,17.15,3000,,
パレット四条,地下鉄烏丸線,四条駅,3,京都府京都市中京区元竹田町,24,5.9,1,K,26.13,6000,,5.9
パレット四条,地下鉄烏丸線,四条駅,3,京都府京都市中京区元竹田町,24,6,1,K,26.13,6000,,6
パレット四条,地下鉄烏丸線,四条駅,3,京都府京都市中京区元竹田町,24,6.2,1,K,26.13,6000,,
パレット四条,地下鉄烏丸線,四条駅,3,京都府京都市中京区元竹田町,24,6.3,1,K,26.13,6000,,
地下鉄烏丸線 烏丸御池駅 8階建 築18年,地下鉄東西線,二条城前駅,5,京都府京都市中京区壺屋町,18,7.4,1,R,35.76,7000,3.7,7.4
